wait | CN: 待 | EN: Wait
counts | CN: 枚 | EN: <span class='cmp-word-long'>tiles</span>
goodshape | CN: 好型 | EN: <span class='cmp-word-long'>Good shape</span><span class='cmp-word-short'>GS</span>
badshape | CN: 愚型 | EN: <span class='cmp-word-long'>Bad shape</span><span class='cmp-word-short'>BS</span>
goodshaperate | CN: 好型率 | EN: <span class='cmp-word-long'>Good shape rate</span><span class='cmp-word-short'>GSR</span>
bu | CN: 补 | EN: <span class='cmp-word-long'>Replace</span><span class='cmp-word-short'>Repl.</span>
da | CN: 打 | EN: <span class='cmp-word-long'>Discard</span><span class='cmp-word-short'>Dis.</span>
win | CN: 和牌 | EN: Win
ready | CN: 听牌 | EN: Ready
steps | CN: 向听 | EN: <span class='cmp-word-long'>steps to ready</span><span class='cmp-word-short'>steps</span>
tuixiang | CN: 退向听牌理 | EN: Theory of back-tracking <span class='cmp-word-long'>steps to ready</span><span class='cmp-word-short'>steps</span>
kang | CN: 暗杠 | EN: <span class='cmp-word-long'>Conceal</span><span class='cmp-word-short'>Conc.</span> Kong
kang_list | CN: 其他暗杠牌理 | EN: Theory of other Concealed Kong
goodopen | CN: 有效副露 | EN: Valuable Call
badopen | CN: 向听不变副露 | EN: Step-Keeping Call
chi | CN: 吃 | EN: Chow
pong | CN: 碰 | EN: Pung
windvd | CN: 和牌拆解 | EN: Winning tiles division
windvd_else_head | CN: 以及其他 | EN: And other
windvd_else_tail | CN: 种和牌拆解方式 | EN: winning tiles dividing ways.
colon | CN: ： | EN: : 
normal | CN: 一般型 | EN: Normal Type
pair7 | CN: 七对型 | EN: <span class='fan'>Seven Pairs</span> Type
kokushi | CN: 国士无双型 | EN: <span class='fan'>Thirteen Orphans</span> Type
orphan13 | CN: 十三幺型 | EN: <span class='fan'>Thirteen Orphans</span> Type
quanbukaoxing | CN: 全不靠型 | EN: <span class='fan'>Honors & Knitted</span> Type
zuhelongxing | CN: 组合龙型 | EN: <span class='fan'>Knitted Straight</span> Type
niconico | CN: 呖咕呖咕型 | EN: <span class='fan'>Niconico</span> Type
shiliubudaxing | CN: 十六不搭型 | EN: <span class='fan'>Sixteen Isolated</span> Type
quewan | CN: 缺万 | EN: Characters Voided
quetong | CN: 缺筒 | EN: Circles Voided
